#OTU ID	ERR1883419	ERR1883420	ERR1883421	ERR1883422	ERR1883423	ERR1883424	ERR1883430	ERR1883436	ERR1883438	JAE006.A0101	JAE007.A0101	JAE008.A0101	JAE009.A0101	JAE010.A0101	JAE012.A0101	JAE013.A0101	JAE014.A0101	JAE015.A0101	JAE016.A0101	SRR059389	SRR059425	SRR059455	SRR059917	SRR060358	SRR1631060	SRR1631061	SRR1631063	SRR1631064	SRR1633008	SRR1761677	SRR1761682	SRR1761688	SRR1761692	SRR1761697	SRR1761698	SRR1761705	SRR1761710	SRR1761718	SRR1761721	SRR1929408	SRR1930121	SRR1930123	SRR1930141	SRR1930145	SRR3184100	SRR3184876	SRR3189411	SRR3189416	SRR3189418	SRR5975923	SRR5975924	SRR5975925	SRR5975926	SRR5975927	SRR5975928	SRR5975929	SRR5975930	SRR5975931	SRR5975932	SRR5975933	SRR5975934	SRR5975936	SRR5975937	SRR6129806	SRR6129807	SRR6129808	SRR6129809	SRR6129810	SRR6129811	SRS011247	SRS011310	SRS012281	SRS013711	SRS013942	SRS013950	SRS014107	SRS014468	SRS014477	SRS014691	SRS014692	SRS015055	SRS015064	SRS015378	SRS015755	SRS019029	SRS019120	SRS019129	SRS019333	SRS021960	SRS022149	SRS023591	SRS045313	SRS047265	SRS051378	SRS052604	SRS052668	SRS056892	SRS058105	SRS063215	SRS063478	SRS064493	SRS075406	SYN001.A0101	SYN002.A0101	SYN003.A0101	SYN005.I0101	SYN006.I0101	SYN008.I0101	SYN009.I0101	SYN012.I0101	SYN014.A0101	SYN014.C0101	SYN015.B0101	SYN015.D0101	SYN015.E0101	SYN015.I0101	SYN017.A0101	SYN017.B0101	SYN017.D0101	SYN017.E0101	SYN018.C0101	SYN018.I0101	SYN019.I0101	SYN021.I0101	SYN022.I0101	SYN023.I0101	SYN025.I0101	SYN026.I0101	SYN028.I0101
Bacteroides sp. A1C1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3137	61259	13803	135399	6718	0	0	0	0	0	15715	3076	25787	980	7179	283	808	0	0	250	137	274	474	296	121	0	497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	47	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides sp. HF-5287	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	710	768	977	43993	292402	16294	146882	56214	481	501	517	571	0	13937	6449	52547	3061	10445	7241	11089	12536	8096	3086	10134	13756	23892	29952	10707	0	633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	115	113	646	126	18	52	308	85	54	0	0	0	384	135	161	0	0	151	45	206	0	176	226	267	0	0	228	41	0	138	0	0	128	0	0	0	75	147	0	0	206	382	213	98	0	0	362	886	0	0	101	0	179	229	417	0	198
Bacteroides fragilis	11	7	4	1	0	0	13	13	2	0	482	1232	1182	495	854	838	2233	1979	3572	6991339	192484	100169	323140	216475	497	551	635	575	0	16415	9863	90313	10197	56788	7128	11684	6545	5764	4719	17725	21130	25519	27443	10922	279	915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	1971	98	0	1332	2428	657	0	5	283	546	2281	1646	90	405	2453	741	236	112	0	130	1755	526	393	0	161	722	82	686	107	281	1074	784	136	0	910	135	0	869	106	0	144	282	154	944	231	850	0	287	604	1161	851	956	0	189	705	1824	338	85	579	0	745	886	2502	312	779
Bacteroides thetaiotaomicron	8	4	0	0	0	2	0	3	2	0	0	510	487	0	0	0	1093	1073	1765	1207326	399046	139953	51290	72188	526	509	531	528	0	38788	6032	100395	3883	32486	12803	26818	25893	20305	71950	24605	45728	65596	70994	23599	0	1575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	160	0	6	815	491	810	2435	125	201	684	429	144	175	0	175	533	260	240	0	0	286	42	113	170	233	313	3739	0	0	353	432	0	52	0	105	190	0	0	0	0	105	0	0	154	244	140	88	0	0	233	609	92	81	130	0	177	190	355	0	212
Bacteroides eggerthii	7	3	0	0	1	0	0	0	2	0	0	479	431	0	0	0	1093	740	1418	12330	634416	303297	24133	27210	239	215	198	215	0	62291	89782	150106	256	73802	10132	3185	1385	853	17483	2496	5422	7856	4883	1813	0	1012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	75	0	206	342	0	0	0	145	123	572	257	46	83	845	275	69	0	0	134	591	193	192	0	107	448	30	110	138	146	352	1373	0	0	355	54	0	0	0	141	190	0	0	0	86	166	0	0	163	773	406	156	0	0	790	2038	99	0	98	0	171	202	371	0	241
Bacteroides heparinolyticus	4	0	1	0	1	0	2	0	4	0	563	1902	34982	4599	1038	295	10710	11830	16136	1331	16007	17755	17715	1067	179	178	217	192	0	3763	2099	9893	138	4607	3002	4743	1117	778	719	2560	5655	8351	6145	1954	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	103	10	372	602	1740	721	88	323	2231	1322	281	0	0	358	2439	1171	389	0	244	562	93	649	0	218	446	241	186	0	919	68	0	0	94	0	149	285	187	211	541	502	0	328	452	1881	1184	711	0	201	1778	3878	234	0	625	0	1266	852	1539	170	536
Bacteroides zoogleoformans	4	0	0	0	0	1	2	0	0	851	0	2942	11007	3505	1971	595	26315	26355	41193	1257	18561	15456	16080	1774	178	190	192	204	0	2839	1699	7612	0	3493	1859	4739	2101	1453	1101	3756	8455	10859	9163	2819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	0	9	301	292	3259	425	111	651	10027	974	620	244	0	268	5209	502	630	0	172	1451	219	631	0	465	1828	230	249	0	1023	70	0	0	98	146	249	373	183	503	372	993	269	305	1308	2176	1195	1353	0	566	1849	4585	697	383	951	0	1304	779	2969	379	541
Bacteroides cellulosilyticus	4	1	0	0	0	0	0	3	3	0	0	384	0	0	0	0	822	777	1079	3200	175896	23809	981607	601001	469	467	526	527	0	28713	5833	13795	385	6971	1501	3377	2898	1674	1071	3929	6780	10655	8226	3218	0	9680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	114	435	447	0	0	75	182	293	58	81	33	407	175	87	0	0	0	357	115	135	0	0	323	44	0	69	106	168	283	0	0	163	297	0	72	0	0	98	0	0	0	0	109	0	0	263	423	205	99	0	112	414	837	104	0	143	0	118	141	220	0	131
Bacteroides helcogenes	4	2	1	0	0	0	2	4	0	0	0	439	526	0	0	0	1360	1266	1863	13084	29394	30303	12515	5080	0	0	0	0	0	6613	3921	17172	170	8501	1091	4958	1269	857	503	2576	4272	6973	5289	1858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	79	129	517	162	17	83	449	187	85	0	0	0	482	180	132	0	0	285	20	91	0	0	182	205	0	0	227	32	0	0	81	104	157	0	0	0	75	145	0	0	245	763	443	121	0	129	884	2096	157	0	121	0	129	203	428	0	156
Bacteroides intestinalis	4	4	0	0	0	0	1	3	0	0	0	481	351	0	0	0	583	493	1094	62840	112192	93239	93877	69419	0	0	0	0	0	7928	2305	10801	525	9996	918	3785	1461	722	434	4208	4245	4350	4186	1303	0	448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	98	927	614	192	21	93	487	136	71	0	0	0	494	144	150	0	0	157	21	149	0	155	233	96	0	0	304	42	0	0	0	0	129	0	0	0	0	77	0	0	238	591	286	127	0	100	523	1298	92	0	183	0	165	140	314	0	133
